Name,Created,Tags,Updated
FoundIt - UX Case Study,"June 15, 2023 9:01 AM",Found it,"January 24, 2024 8:36 PM"
Recruit CRM - UX Enhancement 1 - Abusyeed,"December 26, 2023 6:00 PM",,"March 12, 2025 4:56 AM"
Recruit CRM - UX Enhancement 2 - Abusyeed,"December 28, 2023 7:44 AM",,"March 11, 2025 1:38 PM"
Competitive Audit - Real Estate sites,"January 6, 2024 7:37 PM",,"January 9, 2024 7:01 AM"
Coinpedia - Re-design - Ultimez,"January 7, 2024 3:50 PM",,"January 25, 2024 10:32 AM"
GUVI - Dan Jr Hackathon - GreenBite,"January 24, 2024 4:44 PM",,"February 11, 2024 11:26 PM"
UX Enhancement - Spaarks,"March 11, 2024 4:50 PM",,"June 12, 2024 12:56 PM"
ChangeJar - EatFresh - Abusyeed,"April 6, 2024 2:54 PM","48 Hours, Solo","April 6, 2024 3:43 PM"
Stimuler - UX Enhancement,"May 2, 2024 9:46 PM","48 Hours, Product Design, Solo","May 4, 2024 6:45 PM"
Stimuler - UI & Motions,"May 14, 2024 4:34 PM",,"May 14, 2024 5:01 PM"
"Kynhood - UX & AI ","June 12, 2024 12:58 PM",,"October 24, 2024 3:49 PM"
PhonePe 2.0 - BTS,"March 27, 2025 11:15 AM",,"March 29, 2025 11:45 AM"